6621;01PN;small_airport;Bierly(Personal Use) Airport;40.930599212646484;-77.73889923095703;960;Bellefonte
6622;01PS;small_airport;Nort's Resort Airport;41.59590148925781;-76.02960205078125;1040;Meshoppen
6623;01SC;small_airport;York Airport;35.032100677490234;-81.25279998779297;779;York
6625;01TE;small_airport;Smith Field;32.73759841918945;-96.4280014038086;505;Forney
6626;01TN;small_airport;Colonial Air Park;34.99589920043945;-89.73059844970703;370;Collierville
6629;01U;small_airport;Duckwater Airport;38.849785;-115.634987;5124;Duckwater
6630;01UT;small_airport;La Sal Junction Airport;38.30830001831055;-109.39600372314453;6000;La Sal
6631;01VA;small_airport;Pickles Airport;39.125;-77.9250030518;500;Berryville
6633;01WI;small_airport;Prehn Cranberry Company Airport;44.0099983215332;-90.38919830322266;930;Tomah
6635;01WY;small_airport;Keyhole Airport;44.348312;-104.8106;4250;Pine Haven
335815;02AA;small_airport;Barefoot Airport;61.506147;-149.912825;160;Big Lake
6637;02AK;small_airport;Rustic Wilderness Airport;61.876907;-150.097626;190;Willow
6638;02AL;small_airport;Bass Field;30.37150001525879;-87.76439666748047;61;Foley
6642;02CD;small_airport;Shannon Field;34.129600524902344;-90.52400207519531;165;Clarksdale
6643;02CL;small_airport;Conover Air Lodge Airport;34.761101;-119.058998;5160;Frazier Park
6644;02CO;small_airport;Mc Cullough Airport;37.64329910279999;-106.04699707;7615;Monte Vista
6646;02FA;small_airport;Osborn Airfield;28.52669906616211;-81.87480163574219;121;Groveland
341544;02FD;small_airport;Triple R Ranch Airport;30.950976;-86.635555;209;Baker
6648;02GA;small_airport;Doug Bolton Field;34.202598571777344;-83.42900085449219;884;Commerce
6649;02GE;small_airport;Etowah Fields Airport;34.17530059814453;-84.92440032958984;710;Euharlee
6652;02ID;small_airport;Morgan Ranch Airport;44.55550003051758;-115.30500030517578;5634;Cascade
6653;02II;small_airport;King Ultralightport;40.06230163574219;-86.21050262451172;925;Westfield
6654;02IN;small_airport;Diamond P. Field;40.208900451660156;-85.54080200195312;904;Muncie
6656;02KS;small_airport;Jmj Landing Airport;39.222198486328125;-96.0552978515625;1170;St Marys
322099;02MD;small_airport;Garner Field;38.672544;-76.709739;141;Brandywine
6661;02ME;small_airport;Nadeau's Airfield;43.537467;-70.930685;700;Acton
6662;02MI;small_airport;Fairplains Airpark;43.157100677490234;-85.14849853515625;850;Greenville
6664;02MO;small_airport;Troy Airpark;39.04999923706055;-91.03350067138672;650;Troy
6665;02MS;small_airport;Watts Field;34.095701;-90.846131;153;Rochdale
6668;02NE;small_airport;Benes Service Airport;41.074501037597656;-96.90450286865234;1550;Valparaiso
6671;02NV;small_airport;Paiute Meadows Airport;41.299551;-118.926709;4443;Winnemucca
6673;02OH;small_airport;Zimmerman Airport;41.376399993896484;-83.08329772949219;614;Fremont
6674;02OI;small_airport;Murtha Airport;41.801998138427734;-80.56539916992188;950;Conneaut
6676;02OR;small_airport;Rowena Dell Airport;45.68149948120117;-121.31600189208984;705;The Dalles
6681;02PS;small_airport;Hughes Ultralightport;41.90060043334961;-77.23030090332031;1700;Tioga
6682;02SC;small_airport;Harpers Airport;32.75849914550781;-81.22480010986328;111;Estill
6683;02T;small_airport;Wise River Airport;45.769100189208984;-112.98200225830078;5830;Wise River
6686;02TN;small_airport;Ellis Field;35.780355;-86.585521;840;Rockvale
6689;02UT;small_airport;Lucin Airport;41.36629867553711;-113.84300231933594;4412;Lucin
6690;02VA;small_airport;The Greenhouse Airport;38.435699462890625;-77.8572006225586;320;Culpeper
6692;02WA;small_airport;Cawleys South Prairie Airport;47.15230178833008;-122.09400177001953;690;South Prairie
